iter	Passed	Remaining
0	0	18
1	1	16
2	2	16
3	3	14
4	4	14
5	6	15
6	7	14
7	9	13
8	10	12
9	11	11
10	11	9
11	13	8
12	14	7
13	15	6
14	16	5
15	17	4
16	17	3
17	18	2
18	19	1
19	20	0
